mon_year,KM_driven,Fuel_Type,Horse_Power,Color,Transmission,Engine,Doors,Cylinders,Gears,Sport_Model,selling_price
Apr_2006,43900,Petrol,110,Metallic,Manual,1600,3,4,5,1,16695
May_2006,46791,Petrol,110,Non-Metallic,Manual,1600,3,4,5,1,17967
Mar_2006,11755,Petrol,110,Metallic,Manual,1600,3,4,5,1,19027
Apr_2006,10335,Petrol,97,Metallic,Manual,1400,3,4,5,0,13727
Nov_2006,37311,Petrol,97,Metallic,Manual,1400,3,4,5,1,16695
Jun_2006,31281,Petrol,97,Metallic,Manual,1400,3,4,5,1,16907
Jul_2006,34654,Petrol,97,Metallic,Manual,1400,3,4,5,1,15847
Nov_2006,43460,Petrol,97,Metallic,Manual,1400,3,4,5,1,16430
Jul_2006,45580,Petrol,97,Non-Metallic,Manual,1400,3,4,5,1,16695
Aug_2006,26500,Petrol,97,Non-Metallic,Manual,1400,3,4,5,1,16907
Oct_2006,10600,Petrol,97,Metallic,Manual,1400,3,4,5,1,15847
Jan_2006,26849,Petrol,97,Metallic,Manual,1400,3,4,5,1,16695
Jun_2006,29150,Petrol,97,Non-Metallic,Manual,1400,3,4,5,1,15635
Nov_2006,52003,Petrol,97,Non-Metallic,Manual,1400,3,4,5,1,14787
Jun_2006,46712,Petrol,97,Metallic,Manual,1400,3,4,5,1,17755
Nov_2006,49779,Petrol,97,Non-Metallic,Manual,1400,3,4,5,1,14787
Jun_2006,117028,Diesel,90,Non-Metallic,Manual,2000,5,4,5,1,17967
Nov_2006,106265,Diesel,90,Non-Metallic,Manual,2000,5,4,5,1,17967
Oct_2006,89040,Diesel,90,Non-Metallic,Manual,2000,5,4,5,0,20140
Jun_2006,84138,Diesel,90,Metallic,Manual,2000,5,4,5,1,19027
Nov_2006,79551,Petrol,97,Metallic,Manual,1400,5,4,5,1,16748
Nov_2006,76548,Diesel,90,Metallic,Manual,2000,5,4,5,1,19027
Feb_2006,68881,Petrol,192,Metallic,Manual,1800,5,4,6,1,23267
Nov_2006,66394,Diesel,90,Metallic,Manual,2000,5,4,5,1,19027
Mar_2006,60511,Petrol,97,Metallic,Manual,1400,5,4,5,0,16695
Jul_2006,59360,Petrol,110,Metallic,Automatic,1600,5,4,5,1,21730
Jun_2006,52858,Petrol,192,Metallic,Manual,1800,5,4,5,0,23267
Aug_2006,52113,Petrol,110,Non-Metallic,Automatic,1600,5,4,5,1,16430
Jan_2006,48468,Petrol,110,Metallic,Manual,1600,5,4,5,0,14045
May_2006,45803,Petrol,97,Non-Metallic,Manual,1400,5,4,5,1,16165
Jul_2006,45580,Petrol,97,Non-Metallic,Manual,1400,5,4,5,1,16165
Oct_2006,42086,Petrol,110,Metallic,Automatic,1600,5,4,5,1,20087
Mar_2006,41287,Petrol,110,Metallic,Manual,1600,5,4,5,1,16959
Nov_2006,39644,Petrol,97,Metallic,Manual,1400,5,4,5,1,15847
Jun_2006,39408,Petrol,110,Non-Metallic,Manual,1600,5,4,5,1,17490
Feb_2006,38737,Petrol,110,Metallic,Manual,1600,5,4,5,1,19875
Mar_2006,35522,Petrol,110,Metallic,Manual,1600,5,4,5,1,19027
Jun_2006,34778,Petrol,97,Metallic,Manual,1400,5,4,5,1,19027
Jul_2006,34112,Petrol,110,Metallic,Manual,1600,5,4,5,0,17967
May_2006,32853,Petrol,110,Metallic,Manual,1600,5,4,5,1,20087
Nov_2006,32224,Petrol,97,Metallic,Manual,1400,5,4,5,1,15847
Nov_2006,31800,Diesel,110,Metallic,Manual,2000,5,4,5,1,23585
Aug_2006,31502,Petrol,97,Metallic,Manual,1400,5,4,5,1,16907
May_2006,30958,Petrol,97,Metallic,Manual,1400,5,4,5,1,16907
Jan_2006,30950,Petrol,97,Metallic,Manual,1400,5,4,5,0,13775
May_2006,30546,Petrol,110,Metallic,Manual,1598,5,4,5,0,20087
Oct_2006,29921,Petrol,97,Metallic,Manual,1400,5,4,5,1,16695
May_2006,29680,Petrol,110,Non-Metallic,Manual,1600,5,4,5,0,21147
Oct_2006,29680,Petrol,110,Metallic,Manual,1600,5,4,5,1,17967
Feb_2006,26782,Petrol,110,Metallic,Manual,1600,5,4,5,1,19875
Jun_2006,24898,Petrol,110,Non-Metallic,Manual,1600,5,4,5,1,19557
Apr_2006,23930,Petrol,110,Metallic,Manual,1600,5,4,5,0,17909
Mar_2006,23320,Petrol,97,Metallic,Manual,1400,5,4,5,1,15794
Aug_2006,21220,Petrol,110,Metallic,Automatic,16000,5,4,5,0,20087
Apr_2006,21200,Petrol,110,Metallic,Manual,1600,5,4,5,1,18285
Aug_2006,18023,Petrol,97,Metallic,Manual,1400,5,4,5,1,16377
Feb_2006,17212,Petrol,110,Metallic,Automatic,1600,5,4,5,1,19027
Aug_2006,16339,Petrol,97,Metallic,Manual,1400,5,4,5,1,17649
May_2006,9049,Petrol,110,Metallic,Manual,1600,5,4,5,1,18497
Mar_2006,7420,Petrol,97,Metallic,Manual,1400,5,4,5,0,15794
Jan_2007,70984,Diesel,90,Metallic,Manual,2000,3,4,5,1,19027
Feb_2007,54997,Petrol,97,Metallic,Manual,1400,3,4,5,1,16907
Feb_2007,53005,Diesel,110,Metallic,Manual,2000,3,4,5,1,23267
Jan_2007,50997,Petrol,97,Metallic,Manual,1400,3,4,5,1,17437
Jan_2007,39750,Diesel,90,Metallic,Manual,2000,3,4,5,1,23585
May_2007,36540,Diesel,90,Metallic,Manual,1995,3,4,5,0,21147
Jan_2007,35329,Petrol,97,Metallic,Manual,1400,3,4,5,1,16907
Jan_2007,33761,Petrol,110,Non-Metallic,Manual,1600,3,4,5,0,20034
Apr_2007,32172,Diesel,90,Metallic,Manual,1995,3,4,5,0,21147
Feb_2007,31201,Petrol,97,Metallic,Manual,1400,3,4,5,1,16907
Feb_2007,27505,Petrol,97,Metallic,Manual,1400,3,4,5,1,16907
Oct_2007,25970,Petrol,110,Metallic,Manual,1600,3,4,5,1,19875
Mar_2007,25336,Petrol,97,Metallic,Manual,1400,3,4,5,1,18497
Jan_2007,24566,Petrol,110,Metallic,Manual,1600,3,4,5,1,20129
Feb_2007,20352,Petrol,97,Metallic,Manual,1400,3,4,5,1,17225
Aug_2007,19080,Petrol,71,Non-Metallic,Manual,1400,3,4,5,0,19610
Oct_2007,17090,Petrol,110,Metallic,Manual,1600,3,4,5,1,19610
Oct_2007,15513,Petrol,110,Metallic,Automatic,1600,3,4,5,1,20617
Feb_2007,14573,Petrol,97,Metallic,Manual,1400,3,4,5,0,17967
Jul_2007,12190,Petrol,110,Metallic,Manual,1600,3,4,5,0,19928
Apr_2007,10600,Petrol,97,Metallic,Manual,1400,3,4,5,1,18497
Jan_2007,7618,Petrol,110,Metallic,Manual,1600,3,4,5,1,19027
May_2008,1,Diesel,116,Non-Metallic,Manual,2000,5,4,5,1,34450
May_2008,4240,Diesel,116,Metallic,Manual,2000,5,4,5,1,32860
May_2008,1590,Diesel,116,Metallic,Manual,2000,5,4,5,1,33152
Jan_2008,14048,Diesel,116,Metallic,Manual,2000,5,4,5,0,26447
Jan_2008,14048,Diesel,116,Metallic,Manual,2000,5,4,5,0,26447
Feb_2008,10600,Diesel,116,Metallic,Manual,2000,5,4,5,1,24327
Jan_2008,6360,Diesel,90,Metallic,Manual,2000,5,4,5,1,26489
Jan_2008,11491,Diesel,90,Metallic,Manual,2000,5,4,5,0,23267
Feb_2008,1,Petrol,110,Metallic,Manual,1600,3,4,5,1,18974
Jan_2007,66780,Diesel,90,Metallic,Manual,2000,5,4,5,1,20405
Apr_2007,60752,Diesel,110,Metallic,Manual,2000,5,4,5,0,23585
Aug_2007,60459,Petrol,110,Non-Metallic,Manual,1600,5,4,5,1,20087
Feb_2007,54165,Diesel,90,Metallic,Manual,2000,5,4,5,0,21147
Jul_2007,42411,Petrol,110,Metallic,Manual,1600,5,4,5,0,17331
Jan_2007,41462,Petrol,110,Metallic,Manual,1600,5,4,5,1,20087
Apr_2007,38173,Petrol,110,Non-Metallic,Manual,1600,5,4,5,1,17967
May_2007,38160,Petrol,110,Metallic,Manual,1600,5,4,5,1,23055
Jan_2007,38160,Petrol,110,Metallic,Manual,1600,5,4,5,0,16907
Jan_2007,37100,Petrol,97,Metallic,Manual,1400,5,4,5,1,17490
Apr_2007,35764,Petrol,97,Metallic,Manual,1400,5,4,5,1,19027
Aug_2007,35486,Petrol,110,Metallic,Manual,1600,5,4,5,0,16801
Jan_2007,34585,Petrol,97,Metallic,Manual,1400,5,4,5,1,17225
Jan_2007,31585,Petrol,97,Metallic,Manual,1400,5,4,5,1,16907
Feb_2007,31207,Petrol,97,Metallic,Manual,1400,5,4,5,1,17225
Aug_2007,31133,Petrol,110,Metallic,Manual,1600,4,4,5,0,16907
Jan_2007,30740,Petrol,97,Non-Metallic,Manual,1400,5,4,5,0,17490
Feb_2007,29490,Petrol,97,Non-Metallic,Manual,1400,5,4,5,1,17490
Feb_2007,29013,Petrol,97,Non-Metallic,Manual,1400,5,4,5,1,19557
Aug_2007,26680,Petrol,110,Metallic,Manual,1600,5,4,5,0,17225
Oct_2007,26500,Diesel,116,Metallic,Manual,2000,5,4,5,0,24380
Jan_2007,24380,Petrol,110,Metallic,Manual,1600,5,4,5,0,21094
Jan_2007,23943,Petrol,97,Metallic,Manual,1400,5,4,5,1,17437
Feb_2007,22985,Petrol,192,Metallic,Manual,1800,5,4,5,0,25387
Aug_2007,22714,Petrol,110,Metallic,Manual,1600,5,4,5,1,21147
May_2007,21867,Petrol,110,Metallic,Manual,1600,4,4,5,1,19610
Jun_2007,21486,Petrol,110,Metallic,Manual,1600,5,4,5,1,20087
May_2007,21311,Petrol,97,Non-Metallic,Manual,1400,5,4,5,1,17437
Jan_2007,21200,Petrol,110,Non-Metallic,Automatic,1600,5,4,5,0,21730
Aug_2007,21187,Petrol,110,Metallic,Manual,1600,5,4,5,1,25970
Feb_2007,19428,Petrol,110,Non-Metallic,Manual,1600,5,4,5,1,20617
Jul_2007,18970,Petrol,110,Metallic,Automatic,1600,4,4,5,1,22207
Jan_2007,18338,Petrol,97,Metallic,Manual,1400,5,4,5,1,18232
Feb_2007,18060,Petrol,110,Non-Metallic,Manual,1600,5,4,5,1,21147
Nov_2007,14572,Petrol,97,Metallic,Manual,1400,5,4,5,1,19557
Sept_2007,14452,Petrol,110,Metallic,Manual,1600,5,4,5,1,20670
Aug_2007,13969,Petrol,110,Metallic,Manual,1600,5,4,5,1,23055
Jun_2007,13946,Petrol,97,Metallic,Manual,1400,4,4,5,1,17880
May_2007,13780,Petrol,110,Metallic,Manual,1600,4,4,5,1,20670
Oct_2007,13250,Petrol,110,Metallic,Manual,1600,5,4,5,0,20034
Apr_2007,12719,Petrol,110,Metallic,Manual,1600,5,4,5,1,20935
May_2007,12459,Petrol,110,Non-Metallic,Automatic,1600,5,4,5,1,20935
May_2007,11660,Petrol,110,Metallic,Manual,1600,4,4,5,1,20087
Apr_2007,10600,Petrol,110,Non-Metallic,Manual,1598,5,4,5,1,21995
Dec_2007,8109,Petrol,110,Metallic,Manual,1600,5,4,5,1,20776
Jul_2007,6890,Petrol,110,Metallic,Manual,1600,4,4,5,0,20670
Oct_2007,6524,Petrol,97,Metallic,Manual,1400,5,4,5,0,18709
Jul_2007,6360,Petrol,110,Non-Metallic,Manual,1600,5,4,5,1,21147
Jul_2007,5787,Petrol,110,Metallic,Manual,1600,5,4,5,1,21147
Jul_2007,5595,Petrol,110,Metallic,Automatic,1600,4,4,5,1,22207
Sept_2007,5300,Petrol,110,Metallic,Manual,1600,5,4,5,1,21730
Dec_2007,1,Petrol,98,Metallic,Manual,1400,4,4,5,0,18863
Dec_2007,1,Petrol,110,Metallic,Manual,1600,5,4,5,0,19340
Jan_2008,11660,Petrol,110,Metallic,Manual,1600,5,4,5,0,25175
Jan_2008,10682,Petrol,97,Metallic,Manual,1400,5,4,5,1,20670
Jan_2008,10600,Petrol,97,Metallic,Manual,1400,5,4,5,1,20087
Jan_2008,10375,Petrol,110,Metallic,Manual,1600,5,4,5,1,23267
Jan_2008,9088,Petrol,110,Metallic,Manual,1600,5,4,5,1,21147
Jan_2008,7420,Petrol,110,Non-Metallic,Manual,1600,5,4,5,1,20087
Feb_2008,6625,Petrol,110,Metallic,Manual,1600,5,4,5,0,21147
Jan_2008,5300,Petrol,110,Metallic,Manual,1600,5,4,5,1,23267
Mar_2008,3180,Petrol,110,Non-Metallic,Manual,1600,5,4,5,0,23850
Feb_2008,2120,Petrol,110,Non-Metallic,Manual,1600,5,4,5,0,19610
Feb_2008,477,Petrol,97,Metallic,Manual,1400,5,4,5,1,19822
Jul_2008,238,Petrol,97,Metallic,Manual,1400,5,4,5,1,22392
Jul_2008,16,Petrol,110,Metallic,Manual,1600,5,4,5,1,22790
Aug_2008,1,Petrol,98,Metallic,Manual,1400,4,4,5,0,18863
Aug_2008,1,Petrol,110,Metallic,Manual,1600,5,4,5,0,19340
Feb_2005,257580,Diesel,69,Non-Metallic,Manual,1900,3,4,5,0,7367
Jul_2005,191476,Diesel,90,Non-Metallic,Manual,2000,4,4,5,0,10070
May_2005,190652,Diesel,90,Metallic,Manual,2000,5,4,5,0,12667
Feb_2005,189589,CNG,110,Non-Metallic,Manual,1600,3,4,5,0,8215
May_2005,170660,Diesel,69,Metallic,Manual,1900,3,4,5,0,12667
Jan_2005,167819,Diesel,69,Non-Metallic,Manual,1800,5,4,5,0,4611
Jan_2005,139149,Diesel,69,Metallic,Manual,1800,5,4,5,0,5035
May_2005,137866,Diesel,69,Metallic,Manual,1900,5,4,5,0,12455
Apr_2005,130830,Diesel,69,Metallic,Manual,1900,5,4,5,0,14045
Aug_2005,125310,Petrol,110,Metallic,Manual,1600,5,4,5,0,12667
Jan_2005,116600,Diesel,69,Metallic,Manual,1900,5,4,5,0,12614
Jun_2005,115378,Diesel,90,Metallic,Manual,2000,5,4,5,0,15635
Mar_2005,112041,Petrol,97,Metallic,Manual,1400,3,4,5,0,10547
Jun_2005,104752,CNG,110,Metallic,Manual,1600,5,4,5,0,12667
Jan_2005,102639,Petrol,110,Metallic,Manual,1600,5,4,5,0,12185
May_2005,102309,Petrol,97,Metallic,Manual,1400,3,4,5,0,11925
Mar_2005,97736,Petrol,110,Metallic,Manual,1600,5,4,5,0,11130
Oct_2005,96943,Diesel,69,Metallic,Manual,1900,3,4,5,0,11077
Feb_2005,95366,Diesel,69,Metallic,Manual,1900,5,4,5,0,13727
Jan_2005,95142,Petrol,110,Metallic,Manual,1600,3,4,5,1,12190
May_2005,90512,Petrol,110,Metallic,Manual,1600,5,4,5,0,13250
Feb_2005,90118,Petrol,97,Non-Metallic,Manual,1400,5,4,5,0,11607
Apr_2005,89371,Petrol,110,Non-Metallic,Manual,1600,5,4,5,0,12137
Aug_2005,87708,CNG,110,Metallic,Manual,1600,5,4,5,0,12667
Apr_2005,85972,Diesel,69,Metallic,Manual,1900,5,4,5,0,14045
May_2005,85250,Diesel,90,Metallic,Manual,2000,5,4,5,0,15635
Nov_2005,83398,Petrol,110,Metallic,Automatic,1600,5,4,5,0,12497
May_2005,83130,Petrol,110,Metallic,Manual,1600,5,4,5,0,12137
Dec_2005,82794,Diesel,90,Metallic,Manual,2000,3,4,5,0,14310
Dec_2005,81960,Petrol,110,Metallic,Manual,1600,5,4,5,0,11607
Dec_2005,80241,Diesel,69,Non-Metallic,Manual,1900,3,4,5,0,14310
Apr_2005,80239,Petrol,97,Metallic,Manual,1400,3,4,5,0,11607
Jan_2005,79337,Petrol,97,Metallic,Manual,1400,3,4,5,0,11607
Jul_2005,78778,Petrol,110,Metallic,Manual,1600,5,4,5,0,13727
Feb_2005,78742,Petrol,110,Metallic,Manual,1600,5,4,5,0,12667
Jan_2005,78622,Petrol,110,Metallic,Manual,1600,5,4,5,0,13197
May_2005,77425,Petrol,110,Metallic,Manual,1598,5,4,5,0,12667
Jan_2005,76101,CNG,110,Metallic,Manual,1600,4,4,5,0,15847
Oct_2005,75472,Petrol,110,Metallic,Manual,1600,5,4,5,0,13197
Jul_2005,71873,Petrol,110,Metallic,Manual,1600,5,4,5,0,13727
Oct_2005,69947,Petrol,110,Metallic,Manual,1600,3,4,5,0,12667
Nov_2005,69266,Petrol,97,Metallic,Manual,1400,5,4,5,0,12391
Mar_2005,68438,Petrol,110,Metallic,Manual,1600,5,4,5,0,13197
Sept_2005,67267,Petrol,97,Metallic,Manual,1400,5,4,5,0,13515
Jan_2005,67258,Petrol,97,Non-Metallic,Manual,1400,3,4,5,0,12640
Dec_2005,65720,Petrol,110,Metallic,Manual,1600,5,4,5,0,13727
Mar_2005,64978,Petrol,97,Metallic,Manual,1400,3,4,5,0,12667
Apr_2005,64872,Petrol,110,Metallic,Manual,1600,3,4,5,0,13674
Apr_2005,64660,Petrol,110,Non-Metallic,Manual,1600,5,4,5,0,12614
Jul_2005,64479,Petrol,110,Metallic,Manual,1600,5,4,5,0,12349
Jan_2005,64130,Petrol,110,Non-Metallic,Manual,1600,5,4,5,0,11607
Oct_2005,63070,Diesel,69,Metallic,Manual,1900,3,4,5,0,14787
Jan_2005,62540,Petrol,110,Non-Metallic,Automatic,1600,5,4,5,0,14787
May_2005,62491,Petrol,110,Metallic,Manual,1600,5,4,5,0,12667
Jul_2005,62326,Petrol,110,Metallic,Manual,1600,5,4,5,0,11607
Jul_2005,61865,Petrol,110,Metallic,Manual,1600,3,4,5,1,13197
Feb_2005,61774,Petrol,110,Metallic,Manual,1600,3,4,5,0,12667
Dec_2005,61174,Diesel,90,Metallic,Manual,2000,3,4,5,0,14310
Dec_2005,60705,Petrol,110,Metallic,Manual,1600,5,4,5,0,12391
Jun_2005,59361,Petrol,110,Metallic,Manual,1600,5,4,5,0,14310
Mar_2005,59326,Petrol,110,Non-Metallic,Manual,1600,3,4,5,1,12667
Jun_2005,59019,Petrol,110,Metallic,Manual,1600,4,4,5,0,13674
Feb_2005,58871,Petrol,110,Metallic,Manual,1600,5,4,5,1,14310
Mar_2005,58724,Petrol,110,Non-Metallic,Manual,1600,5,4,5,0,12455
Dec_2005,58671,Petrol,110,Non-Metallic,Manual,1600,5,4,5,0,12455
Feb_2005,57876,Petrol,110,Non-Metallic,Manual,1600,4,4,5,0,11501
Feb_2005,56999,Petrol,110,Metallic,Manual,1600,5,4,5,0,12455
Mar_2005,56942,Petrol,110,Metallic,Automatic,1600,5,4,5,0,15847
Jun_2005,56863,Petrol,110,Metallic,Manual,1600,5,4,5,0,10536
Mar_2005,56551,Petrol,110,Non-Metallic,Manual,1600,5,4,5,0,13674
Jul_2005,56180,Petrol,110,Metallic,Manual,1600,5,4,5,0,14310
Jan_2005,55209,Petrol,97,Metallic,Manual,1400,3,4,5,0,12455
Jan_2005,55120,Petrol,97,Non-Metallic,Manual,1400,3,4,5,0,12667
Dec_2005,55062,Petrol,110,Metallic,Manual,1600,5,4,5,0,14257
Apr_2005,54836,Petrol,97,Metallic,Manual,1400,3,4,5,0,12667
Jun_2005,53925,Petrol,110,Metallic,Manual,1600,5,4,5,0,13245
Apr_2005,53907,Petrol,110,Non-Metallic,Manual,1600,4,4,5,0,14310
May_2005,53678,Petrol,110,Metallic,Manual,1600,5,4,5,0,13515
Jun_2005,53000,Petrol,97,Metallic,Manual,1400,5,4,5,0,12720
Jul_2005,52470,Petrol,110,Metallic,Manual,1600,5,4,5,0,12667
Jan_2005,52292,Petrol,110,Metallic,Manual,1600,5,4,5,0,13245
Nov_2005,52248,Petrol,110,Metallic,Manual,1600,3,4,5,0,13197
May_2005,51889,Diesel,90,Metallic,Manual,2000,5,4,5,0,15635
Jun_2005,51882,Petrol,110,Non-Metallic,Manual,1600,3,4,5,0,11607
Dec_2005,51864,Diesel,69,Metallic,Manual,1900,3,4,5,0,14310
Jul_2005,51089,Petrol,110,Metallic,Manual,1600,5,4,5,0,13727
Oct_2005,50935,Diesel,69,Metallic,Manual,1900,3,4,5,0,14310
Nov_2005,50892,Petrol,110,Metallic,Manual,1600,4,4,5,0,14257
Feb_2005,50880,Petrol,110,Metallic,Manual,1600,5,4,5,0,14310
Apr_2005,50191,Petrol,110,Metallic,Manual,1600,5,4,5,0,12169
Jun_2005,49630,Petrol,97,Metallic,Manual,1400,5,4,5,0,14257
Jun_2005,49496,Petrol,110,Non-Metallic,Manual,1600,3,4,5,0,12185
Feb_2005,49306,Petrol,97,Non-Metallic,Manual,1400,5,4,5,0,13515
Jul_2005,49107,Petrol,110,Metallic,Manual,1600,3,4,5,0,15889
Oct_2005,49082,Petrol,97,Metallic,Manual,1400,5,4,5,0,13727
May_2005,48639,Petrol,110,Metallic,Manual,1600,5,4,5,0,13727
Jun_2005,48456,Petrol,97,Metallic,Manual,1400,5,4,5,0,13621
May_2005,48336,Petrol,110,Metallic,Automatic,1600,5,4,5,0,14787
Apr_2005,48004,Petrol,110,Metallic,Manual,1600,5,4,5,0,12667
Jun_2005,47786,Petrol,110,Metallic,Manual,1600,5,4,5,0,13727
May_2005,47520,Petrol,110,Metallic,Manual,1600,5,4,5,0,12402
Aug_2005,47442,Petrol,97,Non-Metallic,Manual,1400,3,4,5,0,10547
Jan_2005,46871,Petrol,97,Metallic,Manual,1400,5,4,5,0,12609
Feb_2005,46250,Petrol,110,Metallic,Manual,1600,5,4,5,0,13727
Sept_2005,46033,Petrol,110,Metallic,Manual,1600,3,4,5,0,13250
Jun_2005,45849,Petrol,110,Metallic,Manual,1600,5,4,5,0,14708
Oct_2005,45580,Petrol,110,Non-Metallic,Manual,1600,3,4,5,1,11130
Dec_2005,45392,Petrol,110,Metallic,Manual,1600,5,4,5,0,13033
Mar_2005,45114,Petrol,110,Metallic,Manual,1600,5,4,5,0,14787
Jul_2005,44259,Petrol,110,Non-Metallic,Manual,1600,3,4,5,0,11607
Jan_2005,43989,CNG,110,Metallic,Manual,1600,5,4,5,0,13727
May_2005,43819,Petrol,110,Metallic,Manual,1600,5,4,5,0,13621
Oct_2005,43460,Petrol,110,Metallic,Manual,1600,5,4,5,0,14835
Jun_2005,42400,Petrol,110,Metallic,Manual,1600,3,4,5,0,14575
Aug_2005,42142,Petrol,110,Metallic,Manual,1600,5,4,5,0,13515
Apr_2005,42039,Petrol,110,Metallic,Manual,1600,3,4,5,0,13250
Feb_2005,42029,Petrol,110,Non-Metallic,Manual,1600,3,4,5,0,14787
Jun_2005,41895,Petrol,97,Metallic,Manual,1398,3,4,5,0,12190
Jan_2005,41887,Petrol,97,Metallic,Manual,1400,5,4,5,0,14787
Apr_2005,41805,Petrol,97,Non-Metallic,Manual,1400,5,4,5,0,12609
Jan_2005,41340,Petrol,97,Metallic,Manual,1400,3,4,5,0,10547
Mar_2005,41268,Petrol,110,Metallic,Manual,1600,3,4,5,0,14310
Aug_2005,41141,Petrol,97,Non-Metallic,Manual,1400,3,4,5,1,12137
Mar_2005,40985,Petrol,110,Metallic,Manual,1600,5,4,5,0,13197
May_2005,40972,Petrol,110,Metallic,Manual,1600,5,4,5,0,13727
Jan_2005,40769,Petrol,110,Metallic,Manual,1600,5,4,5,0,14835
Mar_2005,40363,Petrol,97,Non-Metallic,Manual,1400,3,4,5,0,12455
Jun_2005,40049,Petrol,97,Metallic,Manual,1400,5,4,5,0,12349
Feb_2005,39831,Petrol,97,Non-Metallic,Manual,1400,3,4,5,0,10547
Apr_2005,39785,Petrol,110,Metallic,Manual,1600,5,4,5,0,14787
Jan_2005,39632,Petrol,110,Metallic,Manual,1600,5,4,5,0,13727
Jul_2005,39559,Petrol,97,Metallic,Manual,1400,3,4,5,0,11607
Mar_2005,39220,Petrol,97,Metallic,Manual,1400,3,4,5,0,10494
Jan_2005,39220,Petrol,110,Non-Metallic,Manual,1600,4,4,5,0,12667
May_2005,38760,Petrol,110,Non-Metallic,Manual,1600,5,4,5,1,12709
Sept_2005,38445,Petrol,110,Metallic,Manual,1600,5,4,5,0,11395
Aug_2005,38238,Petrol,110,Metallic,Automatic,1600,5,4,5,0,14787
Jan_2005,38230,Petrol,110,Metallic,Manual,1600,3,4,5,0,11925
Jun_2005,36675,Petrol,110,Metallic,Manual,1600,5,4,5,0,13727
Apr_2005,36040,Petrol,110,Metallic,Manual,1600,5,4,5,0,12667
Mar_2005,35640,Petrol,97,Metallic,Manual,1400,3,4,5,0,11607
Dec_2005,35606,Petrol,110,Metallic,Manual,1600,5,4,5,0,13727
Oct_2005,35253,Petrol,110,Metallic,Manual,1600,5,4,5,0,13727
Feb_2005,35100,Petrol,110,Metallic,Manual,1600,5,4,5,0,12397
Apr_2005,34980,Petrol,110,Metallic,Automatic,1600,5,4,6,0,11660
Oct_2005,34917,Petrol,110,Metallic,Manual,1600,5,4,5,0,14787
Jul_2005,34748,Petrol,110,Non-Metallic,Manual,1600,5,4,5,0,12667
May_2005,34484,Petrol,110,Metallic,Manual,1600,3,4,5,0,12455
Nov_2005,34377,Petrol,97,Metallic,Manual,1400,5,4,5,0,13144
Oct_2005,33920,Petrol,110,Non-Metallic,Manual,1600,3,4,5,0,13250
Dec_2005,32860,Petrol,110,Metallic,Manual,1600,5,4,5,0,13674
Apr_2005,32848,Petrol,110,Non-Metallic,Manual,1600,3,4,5,0,12932
Feb_2005,32587,Petrol,110,Metallic,Manual,1600,3,4,5,0,13515
Mar_2005,32001,Petrol,110,Metallic,Manual,1600,5,4,5,0,12667
Apr_2005,31499,Petrol,116,Metallic,Manual,1600,5,4,5,0,12614
Jan_2005,31499,Petrol,110,Metallic,Automatic,1600,3,4,5,0,12667
